,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,12.00193091699188,7.517016871611258,3.717980154775677,3.714082689456192,3.706424838547926,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,159101.23563582194,12112.206281398165,412.5516370644781,412.5516370644781,412.5516370644781,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,12969.793667659234,914.5055457706294,38.36274181557307,34.83010912209595,33.043088023373805,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,1143.774359231011,68.7005757457988,4.176598119774313,4.176598119774313,3.5043943777779214,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1288.4324415098874,79.67230139776149,6.592080506640612,6.592080506640612,6.592080506640612,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,1736.4975702232532,298.2121782414755,10.187176763434483,10.187176763434483,10.187176763434483,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,48.137257178564816,10.625927646937601,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,62.75927771595255,32.41989216268864,0.6195688779827178,0.6195688779827178,0.6195688779827178,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,21.30199572250813,11.546395975413803,0.3287891237216909,0.3287891237216909,0.3287891237216909,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,16.57438801665954,8.961850688096241,0.5028907368988957,0.5015827284863239,0.5015827284863239,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,32.35692337119941,16.68827799544828,1.2653430624578885,1.2643255554198556,1.2507575358305605,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,2.1123793118955643,1.021677060758744,0.037541074118126704,0.037541074118126704,0.03724482457339764,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,46.96606842163718,14.708903611197501,0.6042764829219262,0.5575078146511389,0.5102121367228347,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,16.56388830884771,1.1620237404434663,0.17257495267467904,0.15371200570283866,0.1456179552365068,,,
Data,1331012.0,1331012.0,,,,162980.0,11417.0,581.0,575.0,575.0,964614.0,800395.0,681593.0
