,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.00477162750364,4.486654408622767,2.338080184255791,2.333307747680938,2.3242678151939984
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163899.93725664882,151413.14361561852,147632.63349776587,147391.25414077338,146829.99331489298
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13412.038894461257,12468.03388910201,11884.24582263907,10302.59282159909,9294.135605575411
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1178.1495515404254,1107.6201111935766,1052.1880567589963,935.89886898499,865.4807240972357
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1326.9048183407865,1245.9602880053137,1167.9014396023558,1164.8299944962655,1161.5081905365523
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1787.1505000429108,1481.1716191308044,1424.1479556078798,1420.6033773723052,1412.0183768964102
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,49.56639946116805,38.48710401071861,36.42495060483202,34.580579535279114,33.839742103459
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.74021507878915,31.50399561373124,30.870574261246254,30.74710097877842,30.521942602970423
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.71533255119889,9.91003845340947,9.626776294112389,9.59188045407229,9.53656880196663
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.966286631280326,7.818278041889931,7.3982494887010875,7.3746495171430535,7.336106519837168
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.14714145705196,16.028930025645757,15.013650045948381,14.9899419130289,14.923479235600634
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.17230858853155,1.1224931904812958,1.0811096769756705,1.0784340111703083,1.0709922140921262
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.2453222583614,33.21291836864958,31.734468100550288,27.586671409099072,23.93884718601665
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.086506033640447,15.884326774768892,14.079128763880972,11.30519868926707,9.481816002817807
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,162980.0,151563.0,143636.0,141513.0,139793.0
