,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,1.9693795291646348,0.9419442692653115,0.49417880497926325,0.4933966895600014,0.4902133969026819,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,167859.840991634,155123.64622918074,150640.3659057549,150349.40173851873,149754.82798617057,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,13496.333253139157,12556.646146933075,11953.82482980471,10669.326146981099,9613.3940238667,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1169.117581954138,1076.359355443311,1025.8369472973175,942.9446391547104,861.4776040504464,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,2129.1395941951732,1970.686930724336,1868.7749860113959,1863.6032258855428,1858.8669084736873,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,4214.199692232553,2786.756081715467,2694.5310028980953,2687.8263251372377,2677.7242217779262,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,208.14230582165817,139.6332922047614,132.31290449379733,124.7697103376587,118.98041322376133,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,11.860648144785284,7.572478638362995,7.277588385801271,7.277588385801271,7.185540393600439,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,4.136495801959543,2.3254666936999673,2.2747888553231705,2.260632439788954,2.260632439788954,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,5.707256365225634,2.8823807560028367,2.785749439809028,2.7707536053417146,2.7549592041966866,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,6.777289959029756,4.3191830894235315,4.021007358592719,4.007696803127793,3.9830632731554054,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,0.9106285076166896,0.5877435797583925,0.5719375122209808,0.5698244671017748,0.565785248785484,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,29.84861604195379,25.29837094747579,24.21536070582251,21.181274315782854,18.619625514687318,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,17.7706859798694,16.055989611756946,13.94284028993718,11.447453597593412,9.61896300747348,,,
Data,1331012.0,1331012.0,,,,166982.0,154639.0,146669.0,144879.0,143092.0,964614.0,800395.0,681593.0
