,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.992664277873136,7.510689096521647,3.713357111386165,3.709459646066681,3.7017175700753953,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163760.65550166188,12424.112871229328,371.7872302883985,371.7872302883985,371.7872302883985,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13470.649386430348,948.0659292882954,39.5310039591779,36.05648614607414,34.134250126438246,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1182.6648081491107,70.0893240099444,3.997129998009743,3.997129998009743,3.324926256013351,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1324.3117539351074,80.1043793781622,6.55168892861735,6.55168892861735,6.55168892861735,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1777.091429964004,301.34386593885245,10.487700575455051,10.487700575455051,10.487700575455051,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,48.54392932737743,10.881279875130236,0.48616688795535856,0.48616688795535856,0.48616688795535856,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.81013170590313,33.33665312822903,0.6195688779827178,0.6195688779827178,0.6195688779827178,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.770505313617704,11.8306363622874,0.3287891237216909,0.3287891237216909,0.3287891237216909,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,17.00794461588676,9.159329526119922,0.5073515934944638,0.506043585081892,0.506043585081892,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.17836516103084,17.131590008890207,1.2835280234986284,1.2825105164605952,1.2689424968713003,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1747561021423865,1.0491351378171667,0.03775127295345846,0.03775127295345846,0.037455023408729395,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.45378915653625,15.085801117436455,0.6238776262931567,0.5762395093416317,0.5253501806243017,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.114154335553977,1.2021137891451776,0.17419868317619885,0.15533573620435848,0.14724168573802662,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,11417.0,581.0,575.0,575.0,162980.0
