,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,12.005378602106381,7.518234101398325,3.7180672568894377,3.7141697915699527,3.7065119406616867,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,164039.03893121242,12482.102056462536,423.03667588064303,423.03667588064303,423.03667588064303,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,13442.925505729354,944.8838861121641,39.71324978269781,36.133855769152014,34.21161974951611,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1178.9260622424645,71.06456153703076,4.21130070424113,4.21130070424113,3.539096962244738,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1327.1676187795465,80.94453033547275,6.718419821838002,6.718419821838002,6.718419821838002,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,1791.2373684117974,307.7087018013575,10.66683913482196,10.66683913482196,10.66683913482196,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,49.65604274613655,11.011424581084825,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,64.8082329093818,33.30660050641929,0.6195688779827178,0.6195688779827178,0.6195688779827178,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,21.73667936516546,11.796569294113175,0.3287891237216909,0.3287891237216909,0.3287891237216909,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,16.9925712407193,9.158252300090723,0.5067172087031347,0.505409200290563,0.505409200290563,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,33.15561656808974,17.109540621510078,1.2882611332858942,1.2872436262478613,1.2736756066585662,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,2.174754583605312,1.052017605467521,0.03832964625377114,0.03832964625377114,0.03803339670904208,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,48.302857731089006,15.056702326417241,0.6226609065378172,0.5750227895862924,0.5254445616550267,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,17.12693832892669,1.210713455804178,0.17566073406653498,0.15679778709469455,0.14870373662836273,,,
Data,1331012.0,1331012.0,,,,162980.0,11417.0,581.0,575.0,575.0,964614.0,800395.0,681593.0
