,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9696113819490826,0.9420353420298443,0.4942008589244269,0.49350056136924453,0.49031726871192505
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167392.46981954476,154722.80481555214,150294.94407491095,150003.97990767477,149428.38666746125
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13473.20148135143,12534.737840291778,11932.625603506829,10652.499371983224,9600.036814844425
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1166.3249575783714,1073.502813774201,1024.003948769944,941.2327255232425,860.110442900584
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2125.052933220191,1966.5496944428237,1864.6968125991743,1859.5250524733215,1854.7248211362478
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4206.78172355893,2781.7369444307246,2689.7707535976724,2683.0660758368144,2672.9639724775034
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,207.52130263469607,139.1206076123995,132.03392144487657,124.49072728873792,118.70143017484055
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.810790935762181,7.5601058264091,7.265215573847376,7.265215573847376,7.1731675816465446
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.145464186251212,2.3344350779916363,2.2837572396148396,2.2696008240806225,2.260632439788954
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.709099166304384,2.8791434818314627,2.782512165637654,2.765846290974386,2.7500518898293578
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.759607564441312,4.309401942444101,4.006342742681685,3.99303218721676,3.968398657244371
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9109929769433471,0.5879472049444501,0.5718082067902981,0.5700004104883298,0.5659611921720391
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.82823822460834,25.282613127169178,24.203219392531985,21.172838285624614,18.61203517281693
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.74317907683823,16.02412997012909,13.911044299949541,11.430531186413226,9.610214413095093
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,166982.0,154639.0,146669.0,144879.0,143092.0
