,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9589423611503558,1.021638442981771,0.5020495468332784,0.5016437482127112,0.5002890794045498,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167193.8253432936,12579.892417369454,428.68356971137257,428.68356971137257,418.1991533109566,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13400.566498545495,934.2635182851523,39.60129260369756,36.7424599715476,35.14417504632244,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1163.998533216089,93.12109745832791,4.598741969922742,4.22700669492851,4.22700669492851,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2146.3401181667555,161.1342141361692,10.415855040857421,10.415855040857421,10.415855040857421,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4219.603526100758,1430.119535522983,45.00121096812887,45.00121096812887,44.93401922040782,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,209.71504302751947,69.45214113415427,3.5053819195792273,3.3816286297045495,3.3816286297045495,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.938559360034311,4.311791408177315,0.06097094625366988,0.06097094625366988,0.06097094625366988,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.1709271192161665,1.822258813163065,0.05983853733230919,0.05983853733230919,0.05983853733230919,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.752828340118172,2.854204244661494,0.07339386492785774,0.07339386492785774,0.07339386492785774,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.773908461170754,2.444889319732494,0.15169251849886056,0.15169251849886056,0.14913135691310436,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.911472944185344,0.3260183876441158,0.011691041462919861,0.011691041462919861,0.011361264381393704,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.66443891298714,4.541444793176334,0.20796350756900864,0.1948553559643177,0.17755744167100418,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.660371187104403,1.7090625605623455,0.3624221470134813,0.34313122445129596,0.3280594033701718,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,12343.0,641.0,635.0,628.0,166982.0
