,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,12.00193091699188,4.4849140453806235,2.336553756788936,2.331781320214083,2.3227413877271434,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,159101.23563582194,146989.02935442378,143303.04729014085,143071.40020159006,142530.67566907045,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,12969.793667659234,12055.288121888603,11490.172045612138,9959.259773218639,8993.950933148632,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,1143.774359231011,1075.0737834852123,1020.7665249269119,906.5300178140544,839.113218421131,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1288.4324415098874,1208.760140112126,1132.8516483835633,1129.7802032774734,1126.7571604669179,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,1736.4975702232532,1438.2853919817776,1382.8903295244781,1379.3457512889036,1371.0500268147441,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,48.137257178564816,37.51132953162722,35.449176125740635,33.60480505618772,32.86396762436761,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,62.75927771595255,30.339385553263917,29.705964200778936,29.582490918311095,29.3573325425031,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,21.30199572250813,9.75559974709433,9.485097353754579,9.450201513714482,9.39488986160882,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,16.57438801665954,7.612537328563299,7.205905625118305,7.185522992400063,7.148043753822538,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,32.35692337119941,15.668645375751126,14.681562974914472,14.661126970267595,14.601343946205017,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,2.1123793118955643,1.09070225113682,1.0507566251697642,1.0485897590857793,1.0411479620075974,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,46.96606842163718,32.257164810439676,30.80343765967274,26.76327216605357,23.236998244956055,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,16.56388830884771,15.401864568404243,13.633848489455884,10.944242629420533,9.18494256731811,,,
Data,1331012.0,1331012.0,,,,162980.0,151563.0,143636.0,141513.0,139793.0,964614.0,800395.0,681593.0
