,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9696113819490826,1.0275760399192384,0.5040896579932533,0.5035849296351054,0.5022302608269441
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167392.46981954476,12669.665003992664,433.1689527412844,433.1689527412844,422.6845363408684
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13473.20148135143,938.4636410596536,39.80000019748678,36.95654565015231,35.25851868223099
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1166.3249575783714,92.82214380417031,4.598741969922742,4.22700669492851,4.22700669492851
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2125.052933220191,158.50323877736727,10.133762899561594,10.133762899561594,10.133762899561594
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4206.78172355893,1425.0447791282054,44.67502628001493,44.67502628001493,44.60783453229388
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,207.52130263469607,68.40069502229659,3.3817044009066195,3.2579511110319412,3.2579511110319412
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.810790935762181,4.25068510935308,0.06097094625366988,0.06097094625366988,0.06097094625366988
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.145464186251212,1.8110291082595757,0.05983853733230919,0.05983853733230919,0.05983853733230919
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.709099166304384,2.829955684472921,0.07362207461350072,0.07362207461350072,0.07362207461350072
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.759607564441312,2.450205621997212,0.15076196153792634,0.15076196153792634,0.14820079995217017
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9109929769433471,0.32304577199889706,0.011691041462919861,0.011691041462919861,0.011361264381393704
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.82823822460834,4.545625097439165,0.20527512031669465,0.19216696871200373,0.17486905441869016
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.74317907683823,1.7190491067091405,0.36169774110356795,0.34240681854138255,0.3273349974602584
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,166982.0,12343.0,641.0,635.0,628.0
