,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,1.9702830046601267,0.9427069647408886,0.4947796987960821,0.4939975833768202,0.49081429071950067,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,172325.1457287477,159198.24561160346,154546.34842047738,154255.38425324124,153626.95399203594,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,13835.496961795932,12875.258948331491,12259.147391741048,10941.639104006681,9851.575569561695,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1194.0475384974395,1099.516865193899,1048.2306608048502,962.88175243543,878.1564802398825,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,2174.901996868424,2013.2929860793256,1908.7285779195563,1903.5568177937034,1898.6916628284202,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,4311.800655315319,2853.620685556844,2758.552897919347,2751.4625572979016,2740.9554455646676,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,211.27313798312974,142.14598223965865,134.82559452869458,127.18056051301383,121.39126339911644,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,12.233642880674353,7.815586265514307,7.520696012952583,7.520696012952583,7.419568461057318,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,4.298507821412317,2.4227078668675017,2.372030028490705,2.357873612956488,2.3489052286648193,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,5.84178865927715,2.9581282155265076,2.859952668130709,2.8419461164489244,2.82486611241705,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,6.907266605358998,4.40982866042974,4.099166797917027,4.085856242452101,4.0589851081142285,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,0.9286302130398139,0.6005251034024806,0.5838076009777169,0.5816945558585109,0.5775046463860785,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,30.555455069647685,25.90523368733706,24.79920956886071,21.68467778991548,19.05949949714325,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,18.176512400805635,16.422457630449543,14.275868394211146,11.734381553797862,9.848584556754595,,,
Data,1331012.0,1331012.0,,,,166982.0,154639.0,146669.0,144879.0,143092.0,964614.0,800395.0,681593.0
