,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,1.9696051813464155,1.0274800374635127,0.5040896579932533,0.5035849296351054,0.5022302608269441,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,167259.4511648857,12654.284645313492,433.1689527412844,433.1689527412844,422.6845363408684,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,13447.295150197906,936.5488367977586,39.75086740887378,36.907412861539314,35.20938589361799,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1163.4092016594643,92.37196638054694,4.598741969922742,4.22700669492851,4.22700669492851,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,2122.07206282251,158.4472267600106,10.133762899561594,10.133762899561594,10.133762899561594,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,4199.996420773195,1423.0382098942134,44.616458575177624,44.616458575177624,44.54926682745658,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,207.0786820626268,68.37036215964933,3.3817044009066195,3.2579511110319412,3.2579511110319412,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,11.742703095503739,4.2358975925681746,0.06097094625366988,0.06097094625366988,0.06097094625366988,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,4.120745339399478,1.7994948357113585,0.05983853733230919,0.05983853733230919,0.05983853733230919,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,5.71584896067562,2.8323935783904335,0.07460307845686828,0.07460307845686828,0.07460307845686828,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,6.747991712959969,2.4533410563331417,0.15076196153792634,0.15076196153792634,0.14820079995217017,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,0.9109725089966001,0.3225751182724974,0.011691041462919861,0.011691041462919861,0.011361264381393704,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,29.797121620622864,4.544170130610124,0.20527512031669465,0.19216696871200373,0.17486905441869016,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,17.700873796238653,1.7149179562201,0.3609476322876117,0.3416567097254262,0.32658488864430213,,,
Data,1331012.0,1331012.0,,,,166982.0,12343.0,641.0,635.0,628.0,964614.0,800395.0,681593.0
