,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,1.9696051813464155,0.9421251438829028,0.4942906607774854,0.493590363222303,0.49040707056498356,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,167259.4511648857,154605.1665195722,150171.0042299872,149880.040062751,149304.4468225375,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,13447.295150197906,12510.746313400148,11909.046690368199,10633.112156926378,9585.100581362258,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1163.4092016594643,1071.0372352789175,1021.0237857908887,938.9889206674469,858.2442484892376,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,2122.07206282251,1963.6248360624995,1862.2063522997069,1857.0345921738542,1852.2343608367808,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,4199.996420773195,2776.958210878982,2684.954955309347,2678.2502775484886,2668.2378045208156,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,207.0786820626268,138.70831990297745,131.6216337354545,124.07843957931587,118.41049821639515,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,11.742703095503739,7.506805502935563,7.21191525037384,7.21191525037384,7.119867258173008,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,4.120745339399478,2.3212505036881197,2.270572665311323,2.2564162497771063,2.2474478654854373,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,5.71584896067562,2.883455382285187,2.786824066091378,2.7701581914281106,2.7546303755747914,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,6.747991712959969,4.294650656626828,3.9947727289653887,3.981462173500463,3.956828643528075,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,0.9109725089966001,0.5883973907241027,0.5722583925699507,0.5704505962679824,0.5664113779516917,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,29.797121620622864,25.252951490012737,24.17248703758409,21.15646912963379,18.597930601213,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,17.700873796238653,15.985955840018555,13.876313838470647,11.407113720836728,9.591824037288248,,,
Data,1331012.0,1331012.0,,,,166982.0,154639.0,146669.0,144879.0,143092.0,964614.0,800395.0,681593.0
