,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9788663386558012,1.0332359825250061,0.5080256535891906,0.5076159361068942,0.5063454923817522,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167219.02279404455,12752.790610383052,484.41839833352884,484.41839833352884,473.9339819331129,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13556.195051338813,945.9529069385047,40.396981212804405,37.49541178509657,35.69187834689739,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1165.4656644107345,93.20350431087618,4.860194396622709,4.488459121628476,4.488459121628476,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2103.445738769036,157.40340715219236,10.185627745233994,10.185627745233994,10.185627745233994,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4192.810218902533,1418.4083241412322,44.11098533158099,44.11098533158099,44.04379358385994,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,206.23368208129392,67.59396311795703,3.3012435820194375,3.1774902921447596,3.1774902921447596,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.729905188467844,4.139282326001613,0.06097094625366988,0.06097094625366988,0.06097094625366988,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.101125294229223,1.7856868437615965,0.05983853733230919,0.05983853733230919,0.05983853733230919,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.647645904171806,2.8101510889478796,0.0720285250205267,0.0720285250205267,0.0720285250205267,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.738728144590628,2.4429069514339496,0.14968981752212968,0.14968981752212968,0.14712865593637348,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9117939912844262,0.3229544416960545,0.011996072223129699,0.011996072223129699,0.011666295141603542,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.900860645547276,4.5230698651666374,0.20288270220933652,0.1897745506046456,0.17378773709739648,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.888118441163186,1.716450039652946,0.35546619915673117,0.3361752765945458,0.3211034555134217,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,12343.0,641.0,635.0,628.0,166982.0
