,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.016817780874822,7.525231439009052,3.7209675690496375,3.7169711739925724,3.7093133230843063,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,164158.7689731341,12507.046217439318,427.5220589105548,427.5220589105548,427.5220589105548,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13344.969212833685,938.8149269223142,39.4778598655207,35.905069348414834,33.98283332877893,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1172.738300345321,70.20990723555542,4.21130070424113,4.21130070424113,3.539096962244738,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1327.8560895980927,81.07544839940138,6.6375472947483045,6.6375472947483045,6.6375472947483045,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1799.5955668599831,311.73151958747496,10.582934828395766,10.582934828395766,10.582934828395766,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,49.918490500551854,11.430535898214886,0.48616688795535856,0.48616688795535856,0.48616688795535856,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.61095336926263,33.18415811817337,0.6195688779827178,0.6195688779827178,0.6195688779827178,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.702596029511863,11.794064392885932,0.3287891237216909,0.3287891237216909,0.3287891237216909,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.932579186658106,9.132054036022996,0.5059862535871327,0.504678245174561,0.504678245174561,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.111224494048216,17.117166155434262,1.2815253225218974,1.2805078154838645,1.2669397958945694,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1697380506050794,1.0484178505947832,0.038056303713668305,0.038056303713668305,0.03776005416893923,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.07681182215914,14.99845270292338,0.6187968209334845,0.5711587039819597,0.5215804760506941,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.03345854461452,1.207812913881832,0.176786492181163,0.1579235452093226,0.14982949474299076,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,11417.0,581.0,575.0,575.0,162980.0
