,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,1.9693795291646348,1.027435259899323,0.5040896579932533,0.5035849296351054,0.5022302608269441,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,167859.840991634,12736.194762453233,422.5129306048545,422.5129306048545,412.02851420443847,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,13496.333253139157,939.68710620608,39.87328156753638,37.02982702020191,35.29811961970455,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1169.117581954138,92.75822651082704,4.598741969922742,4.22700669492851,4.22700669492851,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,2129.1395941951732,158.45266347083694,10.133762899561594,10.133762899561594,10.133762899561594,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,4214.199692232553,1427.4436105170857,44.849313366333405,44.849313366333405,44.78212161861235,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,208.14230582165817,68.5090136168968,3.3817044009066195,3.2579511110319412,3.2579511110319412,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,11.860648144785284,4.288169506422289,0.06097094625366988,0.06097094625366988,0.06097094625366988,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,4.136495801959543,1.8110291082595757,0.05983853733230919,0.05983853733230919,0.05983853733230919,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,5.707256365225634,2.8248756092227962,0.075010057446981,0.075010057446981,0.075010057446981,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,6.777289959029756,2.4581068696062243,0.15076196153792634,0.15076196153792634,0.14820079995217017,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,0.9106285076166896,0.32288492785829703,0.011691041462919861,0.011691041462919861,0.011361264381393704,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,29.84861604195379,4.550245094478003,0.20527512031669465,0.19216696871200373,0.17486905441869016,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,17.7706859798694,1.7146963681124543,0.36056246976415673,0.3412715472019713,0.3261997261208472,,,
Data,1331012.0,1331012.0,,,,166982.0,12343.0,641.0,635.0,628.0,964614.0,800395.0,681593.0
