,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,2.5423643586577422,1.3921429198317306,0.6795413171524963,0.6787527469863234,0.677445908769299,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,164479.80518409572,12202.911071191276,432.9375943538823,432.9375943538823,422.4531779534663,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13612.926885641926,983.7382846691353,41.58735201038337,38.28641708371453,36.66135976584188,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1194.5890338638121,94.0409825427585,5.842800671822926,5.242898445980082,5.242898445980082,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2183.56773074515,162.18414858615108,10.234233191012006,10.234233191012006,10.234233191012006,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3897.500354134571,1292.7695884942386,40.98011652094012,40.98011652094012,40.98011652094012,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,198.92417868838976,61.50080056067303,3.1083214425953805,2.9845681527207026,2.9845681527207026,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.74515811864465,6.24108713381989,0.09458444019987439,0.09458444019987439,0.09458444019987439,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.16551995592712,2.463347899767067,0.09242653381382704,0.09242653381382704,0.09242653381382704,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.206235648937602,3.1320406886675434,0.10041676808932566,0.10041676808932566,0.10041676808932566,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.45353328230009,3.3652388184518713,0.24986054612093067,0.24986054612093067,0.24316022532093667,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9634404924709277,0.34982136184138135,0.012060441041023912,0.012060441041023912,0.012060441041023912,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,31.00591503480585,5.1719730068782725,0.2394556106586428,0.22045712805703915,0.20444246638352123,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,18.01534361079236,1.6949523814073921,0.360515422174014,0.3445715201614068,0.32971249244475664,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,12343.0,641.0,635.0,628.0,166982.0
