,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.00477162750364,7.518117218880875,3.7180672568894377,3.7141697915699527,3.7065119406616867
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163899.93725664882,12486.793641030306,423.03667588064303,423.03667588064303,423.03667588064303
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13412.038894461257,944.0050053592496,39.643605178240456,36.11097248476334,34.188736465127434
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1178.1495515404254,70.52944034684882,4.21130070424113,4.21130070424113,3.539096962244738
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1326.9048183407865,80.94453033547275,6.718419821838002,6.718419821838002,6.718419821838002
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1787.1505000429108,305.97888091210626,10.58796322356754,10.58796322356754,10.58796322356754
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,49.56639946116805,11.079295450449436,0.48616688795535856,0.48616688795535856,0.48616688795535856
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.74021507878915,33.23621946505791,0.6195688779827178,0.6195688779827178,0.6195688779827178
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.71533255119889,11.805294097789423,0.3287891237216909,0.3287891237216909,0.3287891237216909
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.966286631280326,9.148008589390393,0.5057580439014897,0.504450035488918,0.504450035488918
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.14714145705196,17.1182114314062,1.2824558794828316,1.2814383724447986,1.2678703528555038
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.17230858853155,1.0498153980502543,0.038056303713668305,0.038056303713668305,0.03776005416893923
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.2453222583614,15.032403889711825,0.6214852081857984,0.5738470912342737,0.524268863303008
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.086506033640447,1.202179258871552,0.1747269536141376,0.15586400664229721,0.14776995617596536
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,162980.0,11417.0,581.0,575.0,575.0
