,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.133895574033671,7.597933489832396,3.756514903732054,3.7525185086749886,3.7446503951448786,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163938.45186621943,12460.084247384544,378.950715954724,378.950715954724,378.950715954724,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13381.166247511232,942.9039630296072,39.39927191053095,35.789686220265025,33.95415488209247,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1181.936116566063,69.9381124789864,4.13041397656636,4.13041397656636,3.458210234569969,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1322.520451671333,81.62211088260649,6.312248680908348,6.312248680908348,6.312248680908348,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1753.4966149302068,291.27316488161296,9.263752474262548,9.263752474262548,9.263752474262548,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,47.06469612330617,10.166570959964513,0.43564166900259804,0.43564166900259804,0.43564166900259804,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,65.70223568034982,33.8207954721627,0.6445702184183669,0.6445702184183669,0.6445702184183669,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.859364069521327,11.79140819341872,0.3287891237216909,0.3287891237216909,0.3287891237216909,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,17.150737252984843,9.27018077738348,0.518562605722272,0.5172545973097002,0.5172545973097002,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.67519815856028,17.37040715036439,1.2918117515780714,1.2907942445400384,1.2772262249507431,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1814064447260884,1.0567718396196533,0.03773096050783111,0.03773096050783111,0.037434710963102046,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.467417282124245,15.203017851055096,0.6325684172283885,0.5839476758694082,0.5343694479381425,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.061484970925868,1.2065036299721084,0.17391564838229462,0.15726830656490082,0.14968039115804976,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,11417.0,581.0,575.0,575.0,162980.0
