,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.16297467927552634,0.11171095614625358,0.09708988994639717,0.09690214604538319,0.09646226772466152,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.12324593412151326,0.0840216945343755,0.07163785611566005,0.07156864063905416,0.0712661062723803,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.09619484754076793,0.06640427856528827,0.05617592370371074,0.056053455918310145,0.05587919540575821,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.19910848888793906,0.1345409399063122,0.11807837529565747,0.11793503916276799,0.1174412243462927,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0029575960204412987,0.002020875625865461,0.0011214756043320482,0.001117448301512483,0.0011144916662300204,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.9820554274804025,2.2494419578991747,0.914208000710768,0.9123028611283799,0.9092872895179942,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,4.965066185487528,3.732475459525169,1.5257189033066612,1.5229316622267361,1.5154939592532517,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0017781164292503284,0.00126612556300625,0.0007600025290712363,0.000758141057833074,0.000758141057833074,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.722878036008692,2.0457271384126567,0.8218218943212009,0.8200743361086698,0.8163032472922829,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.010759033872471912,0.00777623472608197,0.004307344680196362,0.0042941339206603295,0.004292697412798118,
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,109.68142154779765,13.984350147638377,13.316166736352141,13.316166736352141,13.316166736352141,
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,51.818935194802236,9.267047463137029,9.267047463137029,8.082682996673727,7.475391019125826,
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,4.672960534034729,0.9040507392890305,0.9040507392890305,0.9040507392890305,0.9040507392890305,
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,10.928049875939298,2.532571240973631,2.41261331648842,2.41261331648842,2.41261331648842,
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,6.430212403347355,2.8290610166362757,2.8290610166362757,2.8290610166362757,2.8290610166362757,
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.9033627515053625,0.9033627515053625,0.9033627515053625,0.9033627515053625,0.9033627515053625,
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.01888329437338488,0.016560676268247795,0.011165904910699983,0.011165904910699983,0.011165904910699983,
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.037311182454415386,0.024694642844126508,0.023483135437195733,0.023483135437195733,0.023483135437195733,
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.003448776129135295,0.002605411649802533,0.002289902505647385,0.002289902505647385,0.002289902505647385,
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.1456173651252585,0.05597906929523844,0.05415890997702988,0.048046507042433,0.04547267635703456,
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.75781449273547,0.41112028299576286,0.3692988146484081,0.3500720683324059,0.33390184137515333,
Data,1383108.0,1383108.0,1383108.0,1383108.0,,76.0,75.0,73.0,72.0,356.0
