,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.18910399691214405,0.12998282438916564,0.11444724636568235,0.11424055372481098,0.11382312546862414,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.14322288058567717,0.09750828702260214,0.08432549680734933,0.08423243285225518,0.08385583676521811,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.10891199404306587,0.07481572078768364,0.06355547289904906,0.06343300511364847,0.06325874460109653,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.22701773963738264,0.15345151673577362,0.13629351121818628,0.13609634985064473,0.13554150369100365,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0035152312073280303,0.0024546451811876717,0.0014587492052106506,0.0014547219023910856,0.0014517652671086228,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,3.5061952578600746,2.642443858998127,1.1045352021163053,1.1019615231862256,1.0983682318886707,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,5.830507723084668,4.388788334394398,1.8395356235472986,1.83574714635163,1.8264003626921197,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0021446411292168335,0.0015147592903509638,0.0009535949565579128,0.0009517334853197505,0.0009517334853197505,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,3.220047540708558,2.4194177824814522,0.9893289632144905,0.9873846109728436,0.9828435768712244,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.012238054364510143,0.008923814215159004,0.005101631374420046,0.005088420614884013,0.005075759279176503,
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,91.16652733511339,14.46996292189686,13.801779510610622,13.801779510610622,13.801779510610622,
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,48.415456293402755,8.352871855721935,8.352871855721935,7.276815694666631,6.392730080642906,
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,4.4507057921553494,1.1669464631368602,1.1669464631368602,1.1669464631368602,1.1669464631368602,
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,11.60998072177649,3.2277354397644182,3.1077775152792073,3.1077775152792073,3.1077775152792073,
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,5.881274102911383,2.1296811525751433,2.1296811525751433,2.1296811525751433,2.1296811525751433,
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,1.0762628561443077,1.0762628561443077,1.0762628561443077,1.0762628561443077,1.0762628561443077,
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.010993381098627852,0.008670762993490766,0.005979369226620702,0.005979369226620702,0.005979369226620702,
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.040343641100126094,0.027430508707929988,0.026219001300999214,0.026219001300999214,0.026219001300999214,
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.002781939938315491,0.0023181498878261115,0.002002640743670963,0.002002640743670963,0.002002640743670963,
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.14672199634022137,0.05029891528750472,0.05029891528750472,0.04754643206875479,0.04309413709715955,
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.9728686664100725,0.5225510241650471,0.47902229514131855,0.4460745637211079,0.426409729032423,
Data,1383108.0,1383108.0,1383108.0,1383108.0,,76.0,75.0,73.0,72.0,356.0
