,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,0.9147081031687907,0.9147081031687907,0.9145866495848747,0.9145155175981409,0.05339190940963967,0.036900401962813544,0.033307745292947846,0.03324939361533333,0.03305036043466374,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6687396247885888,0.6687104037350293,0.03872247943159075,0.026696694582520747,0.02357720448603783,0.023535462050683742,0.02344291816331681,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956342370058112,0.6956173642658675,0.026806012123810057,0.018903513002643715,0.016074551393836473,0.016074551393836473,0.01601063449546048,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1943528822540315,1.1942766748528373,0.06826159093836379,0.04877150814207472,0.04343644116955388,0.04330286987715967,0.04312687537080638,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017108694186479038,0.0007806423762266127,0.0005617095373828156,0.00036676189724070036,0.00036676189724070036,0.00036308363090549044,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060422891390717,9.060189851549257,0.7401433179932727,0.5558258666991124,0.23862804531283113,0.23811202362748507,0.23710677292924237,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.268498694962206,15.267919985216187,1.2387609001715363,0.931617401788124,0.39639208299987916,0.39494198810302483,0.39236751774312695,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.017392009819169624,0.017391553707081148,0.0004416400173802626,0.00026584008577213016,0.00015672673259195475,0.00015672673259195475,0.00015672673259195475,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138437322164155,8.138179841158967,0.6845160369868225,0.5168414367968288,0.2155789658114403,0.21525722661315014,0.21421039905939307,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.046172661222857174,0.0031893346696457853,0.0023036257043922417,0.0012018203105704534,0.0012018203105704534,0.0011959772391805011,,,
QCD,717986.216814939,956785.8146709627,956667.0157052347,956553.6806509071,19.17381408314674,0.0,0.0,0.0,0.0,,,
TT,63126.80979180276,63126.80979180276,63116.826564698415,63107.18599108666,10.081106427050806,2.2984152187748426,2.3575533769835624,2.199461245579418,2.125626594054107,,,
ST,5417.824558008516,5417.824558008516,5417.184318734426,5416.5525968038955,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,0.2793657353914413,,,
W+Jets,9487.889178263631,9487.889178263631,9487.064804758824,9486.32235540528,2.568104124583517,0.8783136637828055,0.8783136637828055,0.8783136637828055,0.8783136637828055,,,
Z+Jets,12055.822300436781,12055.822300436781,12054.071026015921,12053.005237267775,1.6713831842682103,0.6386705271501281,0.6386705271501281,0.6386705271501281,0.6386705271501281,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,544.751536187187,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.71963054554595,120.71963054554595,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.23831123818383,32.23831123818383,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.696277043463795,32.696277043463795,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,56.00371732736636,56.00176596226789,0.0034474048785957797,0.0007424570357816126,0.0007424570357816126,0.0007424570357816126,0.0007424570357816126,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.879327906819619,4.87917304753225,0.0006590136851296474,0.0,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.92518417388314,156.89562337944528,0.028799385869135042,0.014623696873617023,0.0135497917507822,0.0135497917507822,0.01282968886115424,,,
HWW,80.56791059341468,80.56791059341468,80.56035519769166,80.54779884286333,0.4983021852957458,0.16808590307012305,0.156062822227211,0.14970529233950713,0.1392716083378189,,,
Data,1047903.0,1047903.0,,,,13.0,13.0,13.0,12.0,1047903.0,1047903.0,99.0
