,BDTPreselection,TriggerEffs,QCD SF,bbFatJetPt > 250,VVFatJetPt > 250,VVFatJetMsd > 110,VVFatJetMsd < 150,bbFatJetParticleNetMD_Txbb > 0.98,VVFatJetParticleNetHWWMD_THWW4q > 0.9
HHbbVV,3.6071033477783203,1.570951227474099,1.570951227474099,1.570951227474099,1.570951227474099,0.9565512980863891,0.8187398466919178,0.48688193029257815,0.3044948840467696
QCD,1992124.7620618714,594270.1563745723,820048.0040633716,820048.0040633716,820048.0040633716,330836.77230283234,196196.67764069996,28332.78963390974,928.4145271752152
ST,11005.12806697104,5493.015041772562,5493.015041772562,5493.015041772562,5493.015041772562,1487.6127892663687,710.1742874124973,90.24839718626964,13.47344042885659
TT,201941.48812963517,96942.9808948559,96942.9808948559,96942.9808948559,96942.9808948559,55604.020097737375,23507.90973021774,3078.3348974170826,303.4585142931759
Data,922484.0,922484.0,922484.0,922484.0,922484.0,410602.0,223505.0,29699.0,2029.0
