,Preselection,TriggerEffs,QCD SF
HHbbVV,5.985940456390381,2.2464557300226016,2.2464557300226016
QCD,120482418.33338255,27624806.586386036,26536587.814206287
ST,36940.81801543787,16539.71861346745,16539.71861346745
TT,521291.09375,224763.46718023554,224763.46718023554
Data,26777891.0,26777891.0,26777891.0
