,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.0661308239307758,0.04487051717045534,0.04482414378137449,0.044645939898602854,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7910546533336967,0.7830650557850098,0.04672350247844476,0.03276567628049595,0.03272860915210785,0.03262132994229357,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8295842026069971,0.8209061063174796,0.035364479564259255,0.023314129037354678,0.023314129037354678,0.02327655977228204,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4101042999942586,1.390663224347363,0.07617454042843122,0.05042959645046945,0.050311088503910834,0.050239591507777,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02130646456807585,0.021064324561273218,0.0010153904238808134,0.0007142879148802385,0.0007142879148802385,0.0006998554935759462,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.96606943523112,10.92642042184287,0.9064016040937464,0.6851033966378637,0.6838088191909553,0.6812282676906034,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.42754518001746,18.356068000148724,1.4863932209639823,1.1190979710790152,1.116461849075919,1.112586091663525,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02124839594879495,0.021033610058694998,0.0005320972332760511,0.0003401131474148483,0.0003401131474148483,0.0003401131474148483,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.910018440163697,9.879815192310277,0.8398054189038098,0.6347550774790032,0.6334278503871408,0.6315337952335129,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.055519657883855295,0.05485418505523361,0.002948109264929017,0.0021473740230610267,0.0021473740230610267,0.002132100618994516,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1195253.18073095,1177719.865509848,22.244014442857914,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,13.887949371681426,2.897891623440135,2.6274095586440396,2.4094349040413436,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,1.1096495270864617,0.3627477842497195,0.3627477842497195,0.3627477842497195,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,2.489543923119621,0.0754741537378946,0.0754741537378946,0.0754741537378946,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,1.5893754467279557,0.9182214590567984,0.9182214590567984,0.9182214590567984,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,0.006068461144207527,0.006068461144207527,0.006068461144207527,0.006068461144207527,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,0.0002400427404862805,0.0,0.0,0.0,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,0.03591227016711531,0.013372424952755766,0.013372424952755766,0.011246298129534196,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,0.7124179113028807,0.20211534760722516,0.18881622027457076,0.18001622073800966,,,
Data,1331012.0,1331012.0,1331012.0,,,,28.0,28.0,28.0,1331012.0,1331012.0,151.0
