,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.066732424311673,0.04537905534720686,0.045301395380887705,0.045123191498116076,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7964922393403449,0.7928382739676629,0.047101286741963705,0.03298279123211848,0.032954472867449076,0.03284719365763479,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.835058321937548,0.8316139992092635,0.035106762993353774,0.02349632842435205,0.02349632842435205,0.023458759159279412,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4228120731930771,1.4130533265554628,0.07665277563740697,0.050730066550220956,0.05061155860366235,0.05054006160752851,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021440944541920692,0.021327016264919646,0.0010365800863782258,0.0007239697783876194,0.0007239697783876194,0.0007095373570833271,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.991439674710634,10.972925334791851,0.9088899649832094,0.6865437252895183,0.685205160702192,0.6826452909750065,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47629524681861,18.443564870299006,1.4883332740481654,1.1197784042672754,1.1170178927759842,1.1131396270115606,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138645978059985,0.021286140659751034,0.0005215683738007313,0.0003352399787955006,0.0003352399787955006,0.0003352399787955006,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.930464059707752,9.916398819305595,0.8401420042030894,0.6344024193989325,0.6330849320356988,0.6311859938002595,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05588556143177802,0.05553878736217713,0.0029997340131979297,0.00218234222370633,0.00218234222370633,0.002167068819639819,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208523.5722318934,1200033.7819080197,27.906591804710907,5.662577361852991,5.662577361852991,5.662577361852991,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,14.137345561847615,3.008519385919915,2.7380373211238203,2.48966993023879,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,1.0947397108178452,0.3627477842497195,0.3627477842497195,0.3627477842497195,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,2.9022473660328476,0.0754741537378946,0.0754741537378946,0.0754741537378946,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,1.6375935574256633,0.9182214590567984,0.9182214590567984,0.9182214590567984,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,0.007386475884156394,0.007386475884156394,0.007386475884156394,0.007386475884156394,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,0.0002400427404862805,0.0,0.0,0.0,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,0.03608151095394382,0.015029606181935731,0.015029606181935731,0.01290347935871416,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,0.7139492356785369,0.20808130512939577,0.19478217779674134,0.1859821782601802,,,
Data,1331012.0,1331012.0,1331012.0,,,,28.0,28.0,28.0,1331012.0,1331012.0,151.0
