,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.06841544297315469,0.04650735638519193,0.046411975523741336,0.04622275972926797,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.04802265261451155,0.03361059404015655,0.033581519598686646,0.033467025745254765,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.03491991637261684,0.0232006840220264,0.0232006840220264,0.023163114756953762,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.0780696323785599,0.05154656771891317,0.05142805977235457,0.05131471270752051,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0010586221474675858,0.0007507917168926277,0.0007507917168926277,0.0007363592955883353,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.9261421545033924,0.7011051970492358,0.6996712874549713,0.6969995783449463,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.5230149932217176,1.146980379887728,1.1444479764924091,1.1406903303948916,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0005592673606678276,0.00035224794293424325,0.00035224794293424325,0.00035224794293424325,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,0.8616453717180933,0.6504439115713293,0.6491264242080955,0.6471731303214509,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.0030665935305809284,0.002242233166489721,0.002242233166489721,0.00222695976242321,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,46.55160732494606,5.662577361852991,5.662577361852991,5.662577361852991,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,13.682241350107965,3.08952500559344,2.756116256191957,2.5381416015892597,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.8943206159277118,0.3627477842497195,0.3627477842497195,0.3627477842497195,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,3.080395053843106,0.0754741537378946,0.0754741537378946,0.0754741537378946,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,1.7071761575365119,0.9625019284160551,0.9625019284160551,0.9625019284160551,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.004885259938253187,0.004885259938253187,0.004885259938253187,0.004885259938253187,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.008782260103588931,0.008782260103588931,0.008782260103588931,0.008782260103588931,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0002400427404862805,0.0,0.0,0.0,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.03491702696204267,0.015721998649037956,0.015721998649037956,0.013595871825816386,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.7228626613091003,0.20731884054090055,0.19401971320824618,0.18521971367168505,
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,,28.0,28.0,28.0,151.0
