,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9087910422523933,0.9039911771807736,0.05440328109392403,0.037435691866159054,0.03739428785285402,0.03718616578136921,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6648232888972543,0.6615304688795937,0.039675761450020025,0.02735265768899353,0.027330437516637836,0.027185263430827455,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6919837261137559,0.6895359500254084,0.02880167102816503,0.020277859139341006,0.020277859139341006,0.02014355921293801,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863320607318555,1.1793065385470574,0.07067999299729846,0.050703187101388374,0.050555200204625984,0.05032544001339174,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017017363606822954,0.016929960784848687,0.0007081722667595341,0.0005097025407392762,0.0005097025407392762,0.0005060242744040662,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.040636795335303,9.026372449520458,0.7605389919767122,0.5740413522445584,0.5731857767234811,0.570926233283862,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.235710988413302,15.208705941882577,1.2746532517235254,0.9641802290867824,0.9620456190643591,0.957815874290447,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017297188158115442,0.01721631337755096,0.00041557890941825435,0.0002581950557975564,0.00025645722440487795,0.00025645722440487795,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123037690630078,8.112049494318502,0.7038590074635573,0.5345587802763385,0.5336520442311324,0.5314545802335111,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045925054049681675,0.04568813387406423,0.002971111150514022,0.002182280477811647,0.002182280477811647,0.0021764374064216956,,,
QCD,717986.216814939,956785.8146709627,956785.8146709627,948644.7035294859,941689.1725997124,28.57143775861507,0.555839799505896,0.555839799505896,0.555839799505896,,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62748.65359108715,62350.558550020374,9.931888221833255,1.5990511203879654,1.516547597350671,1.4427129458253598,,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.019529035428,5352.781145230527,1.0695126604080243,0.30245845618708966,0.30245845618708966,0.30245845618708966,,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.098448265346,9376.427000646685,2.7640244773125935,0.9054813816859687,0.9054813816859687,0.9054813816859687,,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11970.280347915328,11907.501953889905,1.3432418892387723,0.42252551921661946,0.42252551921661946,0.42252551921661946,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.0881926888653,539.2414054191454,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.07042524743345,119.27825223478067,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.11233185743809,31.972834248054944,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.50629199227846,32.37127325754241,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.67763486575412,55.48629077310594,0.0032032489110863063,0.0015999289769654825,0.0015999289769654825,0.0015999289769654825,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.8517784616619,4.8285634978383225,0.00040401257297512083,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,156.03648620372667,155.10345329641785,0.026779530104425155,0.012937011715639823,0.012937011715639823,0.012820677168142627,,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.16639644289663,79.67713590709836,0.5461784618893926,0.1865633183371436,0.18001142599515702,0.1711839420741998,,,
Data,1047903.0,1047903.0,1047903.0,,,,18.0,18.0,17.0,1047903.0,1047903.0,103.0
