,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.9,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,1.08307212221333,0.45607777596276267,0.3077339813672643,0.30727879558317717,0.3061212246063835
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,1199906.968442861,7625.497341379077,1667.9598271735533,1660.5774579411689,1644.3468612709416
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,75501.22743606972,1545.4081907346742,288.22951276767805,265.547737401075,250.7854368130872
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,6530.296016033862,130.17041847315573,22.77829496764544,20.725118324742184,18.866846998352905
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,12264.238969325628,217.77265808396993,40.21259410946633,40.21259410946633,40.21259410946633
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,14517.037556219659,177.60618203617756,70.12787318616137,69.92641523364634,69.85761371168577
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,695.3097641927543,9.505850090334462,2.6922680331587503,2.6922680331587503,2.6922680331587503
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,137.14696515108136,0.957836516442484,0.5798529186705327,0.5798529186705327,0.5702839866352888
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,40.3369080970762,0.32290318012765035,0.26215791488447077,0.26215791488447077,0.26215791488447077
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,38.14508043229702,0.6606218180443406,0.47385057048888973,0.47101588530163785,0.4696590415173072
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,65.5789510146088,1.42811211337176,0.9399221989249449,0.9376899071732382,0.9376899071732382
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,5.855043713430598,0.10830694884981179,0.06499694388518915,0.06499694388518915,0.06470069434046008
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,185.6322493149411,3.8881179025679247,1.4306544317195806,1.3313472257643306,1.2074973436462302
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,96.14411210086026,7.394696191558234,1.7358527847662635,1.6071845114477359,1.4970396307250788
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,1330979.0,21070.0,3708.0,3673.0,3629.0
