,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.9985,bbFatJetParticleNetMD_Txbb ≥ 0.988
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9790901153021438,1.9741353376747495,0.1219642924517724,0.05936714771645696
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385454.619714917,1381545.5391913892,17.500003802079714,3.750748995759587
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108596.03805506787,108188.94416321091,13.848296970987793,0.7211041763978671
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8173.542421368004,8153.934084007797,1.634047593590378,0.07679153623179812
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44778.32337141719,44666.99864531666,6.6436516632039755,0.9550287820711335
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.766317507949,713.451753186686,0.0,0.0
Data,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,94.0,12.0
