,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,0.1472686921301586,0.10107426490174351,0.10094133783799049,0.10040963462340954,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3238260860955682,1.3238113768401185,0.11036952894609374,0.07528191165349288,0.07523561890848277,0.07491567518751932,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4539716292322553,1.4539676056039448,0.08621439361824806,0.05940866775114727,0.059286199965746675,0.05911193945319475,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1525633184608575,2.1524763726481866,0.17712979972737075,0.11856489391803346,0.11836233077496336,0.11786225729177914,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03938017151233662,0.03937996600461599,0.0024925117736073984,0.0017043725414731619,0.0017043725414731619,0.001701415906190699,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.80277015575159,25.802680847596257,2.790285245675857,2.1171059783691253,2.1140514645828157,2.1075333870942425,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.972382254621955,42.97195112150606,4.594805377727687,3.480001258557926,3.473098278261395,3.459371643229054,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.041051515857750465,0.001563190826255066,0.0011144020241581317,0.0011079635190274306,0.0011068658492282047,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.628576183635968,23.628432061958964,2.5554031727268645,1.9359814322260418,1.9321155942927137,1.925029523814872,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.10023322280037315,0.10023322280037315,0.008816689307606587,0.0064559783956653505,0.006442767636129318,0.006389436349443148,,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1203052.623732777,1203039.5421803154,54.906725689933175,12.985012658129294,12.985012658129294,12.985012658129294,,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,28.743975226032006,5.560932849576246,4.75892171247978,4.405340373886597,,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,2.6958196217972272,0.8622870659369497,0.8622870659369497,0.8622870659369497,,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,7.783852749129677,2.4520127089325063,2.4520127089325063,2.4520127089325063,,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,3.44510673795665,1.6688463941658576,1.6688463941658576,1.6688463941658576,,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,0.031571511719930515,0.0,0.0,0.0,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,0.003569295632512806,0.00387733279537056,0.00387733279537056,0.00387733279537056,,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,0.03188907933163462,0.02016200607848614,0.02016200607848614,0.02016200607848614,,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,0.002592044515795586,0.002158016923056484,0.002158016923056484,0.002158016923056484,,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,0.0925314445358941,0.02816822561896649,0.02609101846492134,0.024112946329413205,,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,1.5908125683988268,0.40566680241571684,0.38707021126790114,0.37398607835874764,,,
Data,1381192.0,1381192.0,1381192.0,,,,37.0,35.0,34.0,1381192.0,1381192.0,212.0
