,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.5576064418162486,0.5566714046449426,0.5532827601351938,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3165197593868019,1.3110214829059383,0.45791881757231523,0.4569029936710159,0.45405884752805664,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4462305900962389,1.4392955507192307,0.652317382427084,0.6513733342396757,0.6477620938460668,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.137570596615636,2.1263297666407253,0.7131568967672767,0.7117547398162564,0.7072856631134897,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03908003702313971,0.03885051323503232,0.013784367175838664,0.01370872731370893,0.013621516964662413,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.742252257394117,25.704945059660464,6.860909867112294,6.846342353521004,6.8077182295835446,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.8629150243242,42.79297341024497,11.480738864191656,11.45520579291658,11.381404656050226,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04073303080960986,0.0405174122694524,0.019825698921773525,0.019762714459805736,0.01960981946325574,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.573988818796686,23.541072415448003,6.274631989213376,6.261698336534829,6.224029169382853,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09962742189198046,0.09895818332933407,0.03053537074331515,0.03046684870362764,0.030264226223320215,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1193679.3830415304,1186604.0691839366,955047.6143284222,953481.4535406104,949305.1776397101,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,100529.65721549584,89704.4926932598,79292.65828902826,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,9082.442629881198,8261.23643206665,7374.545835472145,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,13097.030870784838,13067.59627665905,13026.22738243096,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,12932.661138642598,12900.664713706423,12830.323032017795,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,583.1209416604997,553.879699334339,520.0120790581569,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,73.53310451199403,73.35584370526358,72.99599309555967,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,20.897948573357844,20.78388009584294,20.6195755455181,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,20.72475387121409,20.669265146024166,20.48588828654088,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,39.233447332788046,39.134060724000584,38.81485606242783,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,4.32698056535032,4.312749533410825,4.277769779296909,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,223.33465319369287,197.0876869118622,170.92979930340212,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,138.07611731548747,114.73761241687579,94.69663703439863,,
Data,1381192.0,1381192.0,1381192.0,,,1136042.0,1120764.0,1104665.0,1381192.0,1381192.0
