,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.6666139971059066,1.6591154859894288,0.13341001757371046,0.09403007435693048,0.081692585400024,0.08157854257352486,0.08110046876890532,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.258682643328564,1.2542619870427407,0.09785930963674785,0.06772644955750429,0.05789638016231856,0.057818581964728485,0.057523419167746295,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.326301668406802,1.3210664369255933,0.07004333828462664,0.04866425767415249,0.04207179124606426,0.0420185337256998,0.04194058685043678,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.133248092094022,2.1225341348193916,0.16440938312715186,0.11371304348415832,0.09864822427365402,0.09850353717890949,0.09777779812680529,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03383336419098479,0.033682252519826934,0.0019281248018608635,0.0014525753591222495,0.0008051595021507524,0.0007993501432924815,0.0007917577059300817,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.72007690504204,20.691431230911157,2.0779153333041878,1.5712278693400854,0.6166867582368065,0.6154589609016535,0.6129994021704728,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.713638841038545,34.66551485562907,3.4919705684191698,2.653947238893572,1.0552001866593066,1.0527330572556006,1.0461238438327098,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034775113179428316,0.03464415101840471,0.001221746527266438,0.0008501108355219663,0.0005082384680713593,0.0005080970727835122,0.0005018573938747387,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.86608712155698,18.84412655163469,1.9204264583322346,1.4540796522187727,0.5636809707384486,0.5624937927035816,0.5600006098391274,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08840542303607321,0.08793676925528332,0.007406599395588656,0.0054380106479855455,0.0028571299256687915,0.0028417725497569555,0.0028166138554530243,,,
QCD,1117757.9198795073,1251971.716351885,1243348.6381278953,1237229.9947820366,81.67923599358654,11.604758400450544,10.91196856647681,10.91196856647681,10.91196856647681,,,
TT,114729.52068857195,114729.52068857195,114029.4683025561,113319.76404047944,22.26729602536022,3.74887681240042,3.6982873466044563,3.168060840178488,3.1567967020886702,,,
ST,9991.097357360093,9991.097357360093,9922.140634086192,9871.37221638479,2.801245897930489,0.6894987125411937,0.6894987125411937,0.6894987125411937,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14632.074465297448,14569.755961664541,6.201660514423411,1.093099092104202,1.093099092104202,1.093099092104202,1.093099092104202,,,
Z+Jets,21597.004857058182,21597.004857058182,21453.74146222078,21367.30115930057,3.5519579118326683,1.849504349623548,1.7830882388536442,1.7830882388536442,1.7830882388536442,,,
Diboson,936.1606241609028,936.1606241609028,930.7571638443397,927.5041399569494,0.28001420954562,0.0,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,223.62056769434213,222.51728560123743,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,66.27722451912622,66.27722451912622,66.00733631376538,65.66476989295606,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.16347309829043,62.98984926782434,0.009530140697925599,0.002619549703144971,0.0012476993426627087,0.0012476993426627087,0.0012476993426627087,,,
WHbb,108.86564442012758,108.86564442012758,108.37346398025522,108.13532762314294,0.02740382836175044,0.01889072796189431,0.017130490279462014,0.017130490279462014,0.017130490279462014,,,
ggZHbb,9.5080271296301,9.5080271296301,9.45631134146326,9.41204558779923,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501,,,
ttHbb,312.2634270090423,312.2634270090423,310.20534812719706,308.225452629239,0.08971425277743861,0.033321589932733986,0.030909146150935353,0.028308727529409265,0.028308727529409265,,,
HWW,150.72907678953348,150.72907678953348,149.74304835468368,148.6507210554542,1.1416528773754058,0.36044118282734006,0.3285193539868109,0.3259958924466131,0.3121596896008318,,,
Data,1414872.0,1414872.0,,,,50.0,48.0,47.0,46.0,1414872.0,1414872.0,199.0
