,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_up ≥ 300,VVFatJetPt_JER_up ≥ 300,BDTScore_JER_up ≥ 0.9,bbFatJetParticleNetMD_Txbb ≥ 0.9137,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.9
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.956582446552969,0.9514173638351618,0.5238962341681705,0.4685329798219862,,,
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,943748.4025460709,936820.5785615065,15181.73374558705,8524.576299546123,,,
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49242.866308308876,48931.942942675116,2105.629443762935,1188.566535800982,,,
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3551.844401210614,3534.3830940836756,190.72760438817042,108.51262049185935,,,
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22558.278126350222,22440.43827967383,723.3136901313518,440.4196204718131,,,
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,350.35927347702835,349.0388445157345,6.23599545866247,5.164563722412065,,,
Data,1028022.0,1028022.0,1028022.0,1028022.0,,,,17640.0,1028022.0,1028022.0,33111.0
