,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_up ≥ 300,VVFatJetPt_JES_up ≥ 300,BDTScore_JES_up ≥ 0.9,bbFatJetParticleNetMD_Txbb ≥ 0.9137,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.9
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.9627053590859099,0.9626195325143448,0.5291775564545984,0.4729683142905374,,,
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,951712.1943890575,951598.2071610591,15391.02582657832,8619.558010223702,,,
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49530.16373826935,49522.744044389656,2122.540547320231,1197.4790287317887,,,
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3575.575144620543,3575.04448299104,191.16945050490574,108.63197155305346,,,
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22714.82634095938,22712.854992275392,726.662920591228,443.6738564901659,,,
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,352.5916898055027,352.5916898055027,6.461835542949363,5.3557439530237465,,,
Data,1028022.0,1028022.0,1028022.0,1028022.0,,,,17640.0,1028022.0,1028022.0,33111.0
