,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9137
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.9566096747942927,0.9511902193920164,0.9511902193920164,0.10700172377825849
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,943552.4935079368,936701.2880493293,936701.2880493293,414155.57499024976
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49221.11449574653,48889.454988424695,48889.454988424695,19377.049556883092
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3552.173733076492,3532.876000602921,3532.876000602921,1537.0779257567583
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22556.427033673514,22436.939271385167,22436.939271385167,8418.689633840426
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,350.53705082453064,349.14705446532366,349.14705446532366,120.00110004289624
Data,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,484294.0
