,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMR_up ≥ 0.9,bbFatJetParticleNetMD_Txbb ≥ 0.9137,BDTScore ≥ 0.9
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.9566096747942927,0.9511902193920164,0.5161685396494406,0.4615469320640896,
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,943552.4935079368,936701.2880493293,14959.505923787852,8365.925009129282,
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49221.11449574653,48889.454988424695,2138.217821250448,1207.6419936465254,
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3552.173733076492,3532.876000602921,191.01470003280502,108.58861139126583,
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22556.427033673514,22436.939271385167,712.5383561726214,432.7456226335157,
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,350.53705082453064,349.14705446532366,6.05720014861349,5.075837173854522,
Data,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,,17640.0,33111.0
