,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMR_down ≥ 0.99,bbFatJetParticleNetMD_Txbb ≥ 0.988,BDTScore ≥ 0.99
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9790901153021438,1.9741353376747495,0.4427417980393031,0.20625688890924085,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385454.619714917,1381545.5391913892,1029.529743619641,51.63533698672477,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108596.03805506787,108188.94416321091,216.35147807539,12.447653736919602,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8173.542421368004,8153.934084007797,24.502065145154454,1.748735590936873,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44778.32337141719,44666.99864531666,99.95246990383106,13.270636872250478,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.766317507949,713.451753186686,0.49829262590622947,0.24553126292888253,
Data,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,,198.0,2492.0
