,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,2.455637240127207,1.378580559235987,0.6970107779468826,0.6964017977178998,0.6942280064570431,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,120330.12254842122,9175.977278626327,215.56404035117828,215.56404035117828,215.56404035117828,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9668.167432233207,652.8256418171187,26.873587140212738,24.726662492332036,23.708362979662418,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,844.9374617858066,58.83574560981104,4.70919659551193,4.386693429331362,4.245864284237955,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1406.2657082801693,96.82425065233164,4.7294684196561185,4.7294684196561185,4.7294684196561185,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,2888.171856067911,937.2351807963646,31.00968006293134,30.761737424207574,30.633377747342944,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,120.70780039192573,37.2559325860222,2.1901688012380167,2.1901688012380167,2.1901688012380167,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,17.747255168357057,7.70289218670645,0.1428798755683627,0.1428798755683627,0.1428798755683627,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.977845818946739,2.3321408039117193,0.07230078643584194,0.07230078643584194,0.07230078643584194,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.717184118783575,2.9161598022162143,0.09986068825238582,0.09986068825238582,0.09986068825238582,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,8.67245161117113,3.811271966659808,0.2667197189967844,0.2654356104135961,0.26096510883575247,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.8292316513362156,0.32479165224199585,0.009571606105075774,0.009571606105075774,0.009571606105075774,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,24.135872738041854,4.588467694221416,0.1939416811078986,0.17660841928974097,0.16103777282293985,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.440950310937982,1.1563742754656388,0.23061918040321294,0.22450478001362334,0.21951733036736915,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8704.0,408.0,405.0,401.0,123461.0
