,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29746478562898,12.276824134383794,12.272119845639592,9.731372365875753,6.114523897415982,3.101603688106123,3.098390488293133,3.0902341814868333,,,
QCD,717986.2168149389,956785.8146709631,729009.8166378612,632770.6431251022,550725.6083517713,121623.17745699568,10060.074622517139,381.2640324364068,381.2640324364068,381.2640324364068,,,
TT,63126.80979180278,63126.80979180278,52307.752567227646,44608.88036847646,40960.186800860545,9576.517742536886,642.6049974738434,26.365679874246897,23.064150794600405,22.422550224655055,,,
ST,5417.824558008515,5417.824558008515,4420.060664662024,3896.6917550329294,3605.625484542623,839.9078090049161,67.02347228128811,3.315039502725968,3.0585409754236053,2.921321114039702,,,
W+Jets,9487.889178263631,9487.889178263631,7788.631768429786,6872.1705167891205,6223.216524019337,904.3749625339528,56.76496956897,4.744310810748418,4.744310810748418,4.744310810748418,,,
Z+Jets,12055.822300436781,12055.822300436781,9653.42452532473,8537.411648615407,7693.774763522865,1382.0653515324236,249.80978518472006,8.514029562827572,8.514029562827572,8.514029562827572,,,
Diboson,544.751536187187,544.751536187187,447.1502602699485,405.1247830302423,366.00037339728885,41.75796135180115,8.722401975682235,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,99.21531675410412,84.26484907163629,74.20384242952278,53.36334759369516,27.874517183491307,0.7654682696368158,0.7654682696368158,0.7654682696368158,,,
VBFHbb,32.24173303425971,32.24173303425971,27.03059633139585,23.886535018168956,21.91863065673472,16.196416054128605,8.999855536283535,0.1966750232929772,0.1966750232929772,0.1966750232929772,,,
ZHbb,32.70020301080715,32.70020301080715,26.779028229277948,24.372369780348443,21.896097839711018,13.794505842546,7.203619861793755,0.38476678687308014,0.38476678687308014,0.38476678687308014,,,
WHbb,56.014320595270185,56.014320595270185,45.634585674493024,42.152603379594915,38.02110436419921,26.595380741165407,13.615087563630555,0.9990619890561575,0.9977778804729693,0.9917397240089426,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.0054118611177145,3.5371238620672836,3.2461063266471135,1.6528096821854281,0.7662384915728699,0.02952796050568096,0.02952796050568096,0.02900310315671656,,,
ttHbb,156.9411921655786,156.9411921655786,132.51692822171967,114.20200598186729,107.86841162910736,35.80509170614285,11.43192749819253,0.4889784506172225,0.4632792322841969,0.41075496927998306,,,
HWW,80.56791059341468,80.56791059341468,68.14992710202029,57.30611607933538,53.740043166739774,12.160585129656468,0.8250975251182258,0.13003233362306063,0.12625163609829407,0.12086232631737037,,,
Data,1047903.0,1047903.0,,,,121852.0,8329.0,369.0,366.0,361.0,786824.0,657428.0,558947.0
