,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_down < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.7460788743074727,0.9252801400682581,0.47587919702155784,0.47539370743012244,0.47366432930017444,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,122287.05947534672,9424.449535267468,229.40476120334048,229.40476120334048,229.40476120334048,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9348.13762547189,613.224936424526,24.78165340971028,23.07713195277058,22.058069829172126,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,836.7485650226539,56.302038752767814,4.248331149080623,3.9258279829000555,3.9258279829000555,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1334.9094591823155,96.11424295847239,5.14450891552395,5.14450891552395,5.14450891552395,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3200.1161264406996,1074.906333544622,33.26932342810913,33.174244557280716,33.04588488041609,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,127.20781548706125,45.514368307731516,2.2724211085862995,2.1846871197330033,2.1846871197330033,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,13.870305434325084,5.242687581798893,0.0824448916552995,0.0824448916552995,0.0824448916552995,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,3.812349826399701,1.6428267831208685,0.030119655343360856,0.030119655343360856,0.030119655343360856,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.091581664297754,2.5413742899447556,0.0864603912206042,0.0864603912206042,0.08548133340318197,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,6.850099823603781,2.835519550134042,0.19979906768118483,0.19979906768118483,0.19757076364138235,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7847510630837837,0.30291361451011134,0.00745551302078658,0.00745551302078658,0.00745551302078658,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.77653142516348,3.9124871871348823,0.14960960860386346,0.14041485033949538,0.1303582660754993,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.053152436691342,1.1800612272448574,0.2344155476561157,0.2273014712645537,0.22180927849412946,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8704.0,408.0,405.0,401.0,123461.0
