,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29839718720017,12.27773802809591,12.272812613011945,9.731628056494342,3.617080901480065,1.8626297110392038,1.8593197505105352,1.8517503998115652,,,
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,121295.30047813742,111302.89025389354,108042.02066246122,107739.79899263408,107334.80528983544,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,9509.463995618828,8871.790782763908,8475.249932153394,7318.220691569765,6612.834438099992,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,834.3453053845999,768.3566379677303,730.6399702582288,651.9363987455915,590.5231370874326,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,899.5151424486058,843.9662402389342,788.0296137635682,786.0729409270732,783.4399436414566,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,1373.5380158619382,1126.218537495273,1080.0106913757386,1076.9267166939753,1070.7212195651389,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,41.67374070646608,32.868872400622365,31.16564099766333,29.281666066479865,28.252855797659265,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,53.11638643690624,25.366152479044345,24.824453034472732,24.800714674580497,24.729043994652862,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,16.094812287217657,7.136922458663825,6.930126903001184,6.9095682641220915,6.869347989311674,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,13.759523996100626,6.572216969561027,6.263472887591797,6.248537941685443,6.212262021267127,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,26.48488515834791,12.919006248000244,12.095528918666178,12.061501779948216,11.986887875330781,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,1.647392133366562,0.8827882369946046,0.848220234402198,0.8466369505623941,0.8404207309022402,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,35.62805269975323,24.23588031925178,23.203828210601465,20.137872160679404,17.44237515598564,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,12.050843956351038,11.22893903186977,10.015523408016112,8.076295009188172,6.723767262743124,,,
Data,1047903.0,1047903.0,,,,121852.0,113523.0,108395.0,106670.0,105292.0,786824.0,657428.0,558947.0
