,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.29839718720017,12.27773802809591,12.272812613011945,1.8876165479605003,0.8760407687874482,0.4501143413776407,0.44907277196688233,0.4453890379411147,,,
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,121405.36435586576,112103.77144060483,109244.0654905214,109104.80399053101,108607.55982894648,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,9374.05791481311,8760.1233250958,8361.753430662142,7351.544757708082,6629.103785447743,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,826.2916045329044,768.9303084138643,730.9125802160527,669.6592957789396,610.2009649628687,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,1355.8679330741172,1260.200053694763,1195.8618143757922,1192.649992953344,1188.8446292512904,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,3124.1692824760453,2080.77656526784,2009.9712436512464,2005.5418206208883,1995.7377276824873,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,124.95047160769587,81.99873440109167,78.63535634855958,74.75173692496065,71.81047115193725,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,14.99504156729095,9.388693676423014,9.281044332023049,9.266552555359333,9.183366324225876,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,4.183718196180154,2.335956475105414,2.2855094946335126,2.2768574166908664,2.2577094645047193,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,5.112380632115909,2.5244524580302614,2.4144969124424978,2.4087546865185034,2.3764002093592853,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,7.242532713834336,4.206198317151454,3.9520623708009963,3.946486545143787,3.918911711435576,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,0.7893945011570728,0.48613061952730263,0.47078840436367997,0.4687179498856624,0.46322449761088524,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,22.95097142612891,18.906039025954442,18.132284393190194,15.83593833653713,13.929717481872629,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,12.03660403485501,10.888813270738483,9.484827038744713,7.613470451834709,6.380656764783505,,,
Data,1047903.0,1047903.0,,,,123461.0,114757.0,109564.0,108079.0,106711.0,786824.0,657428.0,558947.0
