,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.725378715594559,3.614561678210202,1.8599106930827973,1.8566007325541287,1.8490313818551587,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121417.26502122637,111399.38166392052,108165.92326781718,107863.70159799005,107459.69934026216,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9496.845272705345,8859.586535681097,8463.590443710249,7305.814833298476,6602.6380037521185,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,836.5159410263035,770.383170579662,732.9821240205879,653.9760406176729,591.7948012129856,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,904.866664704832,848.5643743472843,792.870648647832,790.913975811337,788.2809785257202,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1391.9891083746422,1139.018549228857,1092.3831228725926,1089.1320647280286,1082.603502166109,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.745361018703264,33.089099536038475,31.385868133079434,29.501893201895967,28.473082933075368,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.11111923494896,25.31828855650886,24.77658911193725,24.752850752045013,24.681180072117375,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.089896219885603,7.121743468759862,6.93636860455293,6.915809965673837,6.87558969086342,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.736372358843724,6.551589625433996,6.243734643148203,6.2287996972418505,6.192523776823533,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.39795975316002,12.869750944372269,12.053761780634968,12.02181988730237,11.948559152991908,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6437248898949735,0.8799625800148019,0.8452930190715489,0.844097086880065,0.8376394161649954,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.52300130087308,24.165611801683742,23.139635321213824,20.076737936809188,17.37070504140381,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.066349680396204,11.250567827526254,10.036460284822022,8.085875921635484,6.737911527104739,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,113523.0,108395.0,106670.0,105292.0,121852.0
