,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.300274725995397,12.281154891719957,12.276868807274052,1.8883908668744314,1.0117508785896983,0.5165530935828959,0.5162201378838136,0.5144844853678322,,,
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,125073.07516655837,9638.472063985208,205.64609374189683,205.64609374189683,205.64609374189683,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,9679.769850295963,631.6115476235314,25.972485204989013,23.80646787293831,22.75489799858761,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,852.7109643611525,59.20378661851707,4.757396457352574,4.434893291172006,4.434893291172006,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,1389.6863061488816,97.70388025680491,4.919891464709542,4.919891464709542,4.919891464709542,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,3210.9667213043194,1070.2241075732582,34.634495095984605,34.48205934746457,34.353699670599944,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,128.06091121055465,44.22660298620858,2.3325580237338186,2.2448240348805224,2.2448240348805224,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,15.513414880338381,5.793096795857161,0.06205812997154596,0.06205812997154596,0.06205812997154596,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,4.273504898940423,1.8885398393899484,0.05841424048708599,0.05841424048708599,0.05841424048708599,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,5.253706332137025,2.6700302674323053,0.09425111763242154,0.09425111763242154,0.09327205981499932,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,7.446367190939148,3.1123404539738173,0.22322487391552737,0.22322487391552737,0.2191685441901047,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,0.8099213405689831,0.31128038349039133,0.007825244585753564,0.007825244585753564,0.007825244585753564,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,23.534112237585195,4.127006518399234,0.15873166944579636,0.1462156041487943,0.13362104373738734,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,12.364843243613214,1.1871255046746745,0.24047085211241384,0.23190220181468027,0.22347736494055642,,,
Data,1047903.0,1047903.0,,,,123461.0,8704.0,408.0,405.0,401.0,786824.0,657428.0,558947.0
