,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.8929251962803266,1.0153097946700689,0.5179683418833511,0.5176707643674034,0.5159351118514219,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,122085.62425420583,9346.114142638975,205.2349886884887,205.2349886884887,205.2349886884887,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9354.898934744933,612.7630601227021,24.97780141978393,22.97796609269922,21.997642599503656,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,826.3838579749543,57.05857416553981,4.514903611713872,4.192400445533304,4.192400445533304,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1370.608635309211,97.19269086096074,4.680657516727737,4.680657516727737,4.680657516727737,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3136.734888014309,1050.0346990732692,34.130127209173445,33.97769146065341,33.849331783788784,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,127.42384555811364,43.6585747524897,2.2724211085862995,2.1846871197330033,2.1846871197330033,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.97366960108594,5.686087546428073,0.06205812997154596,0.06205812997154596,0.06205812997154596,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.188564303853735,1.8317289529062744,0.05841424048708599,0.05841424048708599,0.05841424048708599,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.194292028923025,2.6237438665105954,0.09092215283315455,0.09092215283315455,0.09092215283315455,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.399037624064147,3.099183906423064,0.2249889646828181,0.2249889646828181,0.22093263495739546,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7988224124283617,0.3075314881967866,0.007569407264145414,0.007569407264145414,0.007569407264145414,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.992139712837393,4.090803970097505,0.1591481025874091,0.14663203729040705,0.13290432187064913,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.036008455240989,1.1482461801206514,0.23778131500348285,0.22921266470574925,0.22249702156298407,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8704.0,408.0,405.0,401.0,123461.0
