,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.300274725995397,12.281154891719957,12.276868807274052,9.734417537339867,6.115433394862519,3.101603688106123,3.098390488293133,3.0902341814868333,,,
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,125191.06391341916,10353.271710815534,387.3852136361791,387.3852136361791,387.3852136361791,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,9861.866064104353,660.6823790974158,26.943497934420762,23.540689601650264,22.899089031704918,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,863.9524109840723,68.45373135259362,3.315039502725968,3.0585409754236053,2.921321114039702,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,930.2298899476442,57.845395677896,5.002930433180813,5.002930433180813,5.002930433180813,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,1413.156022306032,256.37975790711533,8.610541768023982,8.610541768023982,8.610541768023982,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,42.08001576589257,8.804868305843708,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,54.77519925187273,28.58928468107574,0.7566098625968669,0.7566098625968669,0.7566098625968669,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,16.507537099989364,9.127671255106181,0.1966750232929772,0.1966750232929772,0.1966750232929772,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,14.068575970432555,7.351707735424837,0.3941586520971836,0.3941586520971836,0.3941586520971836,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,27.12536445311043,13.884021519772574,1.0164420240301646,1.0151579154469763,1.0091197589829497,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,1.69523489600136,0.7880080230068128,0.030586159630400643,0.030586159630400643,0.030061302281436237,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,36.62346549437412,11.674331323119494,0.5035830761856861,0.4762837576296338,0.42375949462542,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,12.47540958370604,0.8435922243882894,0.13453954751507707,0.12674588095477057,0.12135657117384685,,,
Data,1047903.0,1047903.0,,,,121852.0,8329.0,369.0,366.0,361.0,786824.0,657428.0,558947.0
