,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_down < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.8803479524621431,0.8741445623813368,0.4462932181870215,0.44525164877626316,0.4415679147504955,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121468.77054895996,112060.11344999092,109236.55557785518,109116.3081098597,108619.92545765184,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9453.742763987972,8833.964264665197,8433.795601010177,7413.393497608933,6683.280619563789,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,836.8459153652395,779.077301821995,739.2215760832206,677.0598265529875,617.1524544713549,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1349.6039502274266,1255.2717783142298,1190.6252764672502,1187.413455044802,1183.4975085060103,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3115.285338659662,2077.7560476004383,2007.3511973040859,2002.8725413525233,1993.0497285510053,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,123.47218634012158,80.91005439171042,77.64990647323873,73.6443006901078,70.70303491708438,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.71974666651841,9.23427225682432,9.126622912424356,9.112131135760638,9.028944904627181,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.1768947649749,2.339070981206242,2.288624000734341,2.2799719227916952,2.274094656896481,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.101292074185649,2.532061081997938,2.4199538115253336,2.4142115856013393,2.380230909365137,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.209139949997271,4.21830931675009,3.956785135189126,3.9518703713853376,3.9240048491765025,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7846011889542523,0.4849820667073067,0.4697984582298612,0.46772800375184365,0.4619902626145278,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,23.037599978501838,19.012498847579536,18.24177966309475,15.919059134429856,14.008871344966332,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.077876965059723,10.928485982609518,9.5316866280452,7.658772308710866,6.425769545834392,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,114757.0,109564.0,108079.0,106711.0,123461.0
