,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.890224959600372,3.6805434037063547,1.8976569059617296,1.8942646131346943,1.8863768183750158,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121592.77406803142,111644.09632815054,108375.80797185209,108088.07570449729,107704.82073931076,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9523.054301610748,8885.80594500999,8485.40776218213,7323.0006382408355,6620.1536459602985,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,828.8320784897369,763.2564343963729,725.9875881598017,647.8244777171668,586.7091333554444,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,897.4213241217509,842.8363396385042,788.4057788022479,786.4531528038059,783.8542437992887,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1351.8439175468088,1118.1930593789457,1072.576023738336,1069.3515505718458,1062.756714048619,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.11234864535133,33.13043575813077,31.50758231659517,29.623607385411695,28.379158342932804,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,54.50720066950371,26.09579862131723,25.505989125330363,25.46775898877441,25.377494891704323,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.570523644174557,7.377981617524464,7.161481576462377,7.1409229375832854,7.100702662772868,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.906476990556056,6.604460216069675,6.3051810375957595,6.290246091689406,6.250822719565835,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,27.02149092800846,13.191103697467055,12.36455457247817,12.331711397064552,12.258048429916226,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6743584342759854,0.8983719649598036,0.8627219616674793,0.8611386778276754,0.8546810071126059,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.970259659187334,24.350278544330095,23.323827558725377,20.246928626470908,17.548773326844408,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.123942281782774,11.32845308919746,10.076625022852319,8.084840900686583,6.762066469516024,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,113523.0,108395.0,106670.0,105292.0,121852.0
