,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.660842218874063,2.1032210888041964,0.9956086431885113,0.9942519408668308,0.9858915013877274
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207756.54994531762,190896.19159924306,185037.87942169106,184652.1985534486,183752.45149857158
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20857.76870744137,19506.924329646194,18568.032456715493,16205.033132294688,14486.97080374546
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1833.8137999484381,1705.306099539485,1610.5180133426688,1440.8100389899803,1300.9068887369915
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2417.046211702275,2241.8253635037327,2082.6276438434024,2077.0436544487857,2066.5431681240684
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6874.793330362335,4483.215188175841,4296.092877851923,4286.918993341469,4263.197873678285
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,276.79120690658556,173.8238350096836,167.46998629684026,157.4092210631531,145.49525350981847
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,32.10601911395226,18.84938885417258,18.339215987167535,18.3021877151727,18.09776665757054
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.623483773742603,4.671181159401212,4.584831966442293,4.555254224393322,4.438037828905642
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.759091174810015,6.0483294261755525,5.7644619729556705,5.757362373730644,5.67328007073761
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.897470006274304,9.57835481146811,8.912872903068791,8.888919142645566,8.80216610810411
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7629242110046808,1.1037809866496195,1.0625868941050305,1.0599487954922662,1.0502084737835888
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.530515658551735,42.98787428275776,41.32421258937692,36.01163226043604,31.4828785697445
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.219026541193262,24.543326744502792,21.209272166025382,17.09535837437894,14.05285217279482
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,256609.0,235981.0,223959.0,220553.0,217416.0
