,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9146797127231545,0.914608580736421,0.6087917956564683,0.607910603896334,0.6045582652867602
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6683732502307893,0.6683440291772297,0.4357640607787455,0.43515278425658915,0.4330421594770799
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6961672071027301,0.6961503343627864,0.3864742317447107,0.3856429253647374,0.3835942917469757
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.194939850746327,1.194863643345132,0.7922367922489395,0.7909797308250204,0.7872066159890149
VBFHHbbVV,0.017142810635160908,0.017142810635160908,0.01713613133865023,0.011267487218682698,0.011230468940828683,0.01116903184706803
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.059969405735588,9.059736365894128,6.6069295483614265,6.593760498603475,6.565336121233178
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.268523007482312,15.267944297736292,11.120954671988027,11.095871206711541,11.048782810444676
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.017381485750001178,0.017381029637912705,0.008829266457218795,0.008794161158996505,0.008737112915935595
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.137771513074911,8.13753084505025,5.938500865547054,5.925555258304297,5.90153221502283
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04621106714203778,0.04620548591593372,0.031805558340068374,0.031778957096356794,0.03160957918592153
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.866947802017757,4.866801448146752,3.5499210271093444,3.542484611224215,3.527772327634363
