,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9023550701523806,0.8922164777611142,0.5952182622571587,0.5943642652973119,0.5910129267830585
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6602280471196562,0.6536627676239384,0.4270861239236655,0.4264932665994839,0.42441764969872453
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.68826027367557,0.6815807987728579,0.37906451177329026,0.3782332053933169,0.37626592774671225
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.177425113130468,1.1624124550573232,0.774179584746187,0.77294877316797,0.769231186970039
VBFHHbbVV,0.017142810635160908,0.016946948831945308,0.016740582815179254,0.01099868141931789,0.01096166314146387,0.010900226047703219
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.022131227388936,8.992835649888317,6.562851277636481,6.549833029001262,6.521852498922786
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.199932382842736,15.145314901506145,11.041393014916052,11.016432480144623,10.96988792951147
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01719563669461592,0.017032598673655176,0.008681864257863495,0.008646758959641208,0.008592005959855481
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.106981418397858,8.0837144471882,5.903024008131462,5.8903600882289595,5.866599682179866
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04564902915241258,0.045113103521711495,0.03112110232116589,0.03109793810972958,0.030938253912127563
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.847164914729352,4.8318163745125045,3.5274531720817572,3.520069866508285,3.5055244414627014
