,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9146797127231545,0.914608580736421,0.3058167850799526,0.3051935825708167,0.3031015911953638
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6683732502307893,0.6683440291772297,0.23257996839848416,0.23221800498768747,0.230773943955735
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6961672071027301,0.6961503343627864,0.30967610261807554,0.3088251214186938,0.3072212225373791
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.194939850746327,1.194863643345132,0.40262685109619256,0.40191543910684774,0.3993489520485719
VBFHHbbVV,0.017142810635160908,0.017142810635160908,0.01713613133865023,0.00586864411996753,0.0058462608371838915,0.005789952790250217
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.059969405735588,9.059736365894128,2.4528068175327,2.4479912276429805,2.434577167341943
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.268523007482312,15.267944297736292,4.14698962574827,4.137238522063215,4.1163465551942915
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.017381485750001178,0.017381029637912705,0.008551763180693908,0.008524028007223482,0.00846179961186846
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.137771513074911,8.13753084505025,2.1990299795031936,2.1935656138253723,2.181394650339547
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04621106714203778,0.04620548591593372,0.014399927575865352,0.014371027396844309,0.014316754063305969
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.866947802017757,4.866801448146752,1.3168804210374092,1.3137867709177713,1.3065807819236608
