,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9023550701523806,0.8922164777611142,0.06781704237651004,0.047071624229054115,0.04319387362323026,0.04313552194561574,0.04287743079137486
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6602280471196562,0.6536627676239384,0.050091415196520675,0.034690800231445315,0.03131095528738925,0.03125122618328859,0.03113867633845873
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.68826027367557,0.6815807987728579,0.03558319567439722,0.02498372525041838,0.021666763315399712,0.021599367589975268,0.021539438508700916
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.177425113130468,1.1624124550573232,0.08742675104659711,0.061955023261573615,0.056500484706725376,0.056352497809963,0.05602247427346421
VBFHHbbVV,0.017142810635160908,0.016946948831945308,0.016740582815179254,0.0009827696508962827,0.0007300071194934841,0.000477343871404946,0.000477343871404946,0.0004736656050697361
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.022131227388936,8.992835649888317,0.9544502337175185,0.7165906180128068,0.3222157552451967,0.32138606514501594,0.3197454354144391
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.199932382842736,15.145314901506145,1.592397947815123,1.197202234716489,0.540451035502834,0.5385657604904315,0.5354312553379459
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01719563669461592,0.017032598673655176,0.0005832814905480792,0.0003600360858345506,0.00023165091419022463,0.00023165091419022463,0.00023063761395777655
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.106981418397858,8.0837144471882,0.8815259769565064,0.6666848354448996,0.2952491401995771,0.2947939009386946,0.29355620515999775
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04564902915241258,0.045113103521711495,0.00406284009873395,0.0030144403105329246,0.001765892509045726,0.001765892509045726,0.001760049437655774
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.847164914729352,4.8318163745125045,0.5186099594976374,0.39172531002500105,0.17466629441648757,0.17424361139939132,0.17362834549164063
