,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9088133851056495,0.9034401058416878,0.009736370422446718,0.00448698861433219,0.00448698861433219,0.004463685275355427
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.664608943823672,0.6612910222207564,0.00811182792858062,0.004156204770084898,0.004156204770084898,0.004131277391546862
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925670948427524,0.6894986011225204,0.00740155799134273,0.003986808744446529,0.003986808744446529,0.0039124378993178836
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1867125531122338,1.1791839510518887,0.011993709893189642,0.006324767067229041,0.006324767067229041,0.00628309481453846
VBFHHbbVV,0.017142810635160908,0.017058086230883597,0.016939223141923036,0.0010388897264396678,0.0005235333584017831,0.0005235333584017831,0.0005235333584017831
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.042703078660551,9.027789826233938,1.7099675280259887,1.0283460052611657,1.0270043345413236,1.023479344160925
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.238394260476618,15.21128009157495,2.7923010137941846,1.6843097151457722,1.681721758360284,1.677783407912202
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01729880464151598,0.017204109571180043,0.0004909534711984502,0.00024652275537438505,0.00024478492398170653,0.0002437716237492584
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123576815077866,8.112079560543949,1.6101247580234221,0.9720777260481427,0.9704073745741232,0.9670273375022018
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04598092612979389,0.04562701082437803,0.0038892564776529526,0.002138371161906433,0.002138371161906433,0.002138371161906433
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.858313008222108,4.850657151891384,0.9408585790663107,0.566818480157706,0.5658297410371741,0.5641591706947847
