,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9088133851056495,0.9034401058416878,0.30134472963463566,0.300743935202456,0.29866533207303364
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.664608943823672,0.6612910222207564,0.22970789903868935,0.22934350799158773,0.22791392104861186
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925670948427524,0.6894986011225204,0.3061576958189772,0.3053306068482764,0.3037409572136255
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1867125531122338,1.1791839510518887,0.3953390884087231,0.3946615204987869,0.39219550797050134
VBFHHbbVV,0.017142810635160908,0.017058086230883597,0.016939223141923036,0.00580788786756798,0.005786783196019227,0.005732557922409929
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.042703078660551,9.027789826233938,2.44169332393406,2.43687773404434,2.4235763210670465
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.238394260476618,15.21128009157495,4.127560865934003,4.117809762248948,4.096980891587058
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01729880464151598,0.017204109571180043,0.008447363253725634,0.008419628080255207,0.008361871138795057
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123576815077866,8.112079560543949,2.1901731979979373,2.1847337283696944,2.172648227266929
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04598092612979389,0.04562701082437803,0.014197660406907174,0.014168760227886129,0.014118894098000713
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.858313008222108,4.850657151891384,1.3110452794097025,1.3080272934588266,1.300897792717178
