,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9088133851056495,0.9034401058416878,0.602095376207052,0.6012259477705465,0.597887638312715
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.664608943823672,0.6612910222207564,0.43158312318206693,0.43097818459534976,0.42888616805377333
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925670948427524,0.6894986011225204,0.38334090530354314,0.38250959892356984,0.3804915599249824
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1867125531122338,1.1791839510518887,0.7838448626431654,0.7825936750893094,0.7788041509150945
VBFHHbbVV,0.017142810635160908,0.017058086230883597,0.016939223141923036,0.011131335274355055,0.011094316996501038,0.011032879902740385
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.042703078660551,9.027789826233938,6.586096502299879,6.572933772052074,6.544773336951605
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.238394260476618,15.21128009157495,11.083719225640952,11.058686960512933,11.011884655240955
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01729880464151598,0.017204109571180043,0.008756746317454408,0.008721641019232118,0.008666888019446395
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123576815077866,8.112079560543949,5.921906362546013,5.909113110906564,5.8852845862597025
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04598092612979389,0.04562701082437803,0.03142935041747086,0.03140618620603455,0.03124650200843253
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.858313008222108,4.850657151891384,3.5396118724816805,3.5321753553634188,3.517514204875684
