,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089323598389826,0.9040964161058495,0.3017544978850034,0.3011537034528238,0.29909494914067536
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6644282997521846,0.6611420125925964,0.2296407656109512,0.22927637456384958,0.22784362211739764
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925232359293736,0.6901225253255585,0.30677825338607345,0.30595116441537257,0.3043615147807217
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869833532952432,1.180015454624401,0.3963300034237455,0.39565243551380924,0.3931119626122075
VBFHHbbVV,0.017142810635160908,0.017044800758994144,0.016958839805810984,0.005810279893904592,0.005791696553207927,0.00573747127959863
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.040203617175933,9.026108229589914,2.4417293166676077,2.436913726777888,2.423549671635138
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.235924439515047,15.209051978791601,4.1278998280694665,4.118148724384412,4.097382185250087
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728575832958215,0.01720450952175448,0.008461214489334463,0.008433479315864039,0.008371250920509016
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.122409113893278,8.111440593820992,2.1901492551160837,2.184702373777896,2.172647769254961
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.045957878742758224,0.045716893051750467,0.014209915078305593,0.014181014899284548,0.014131148769399134
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.85716519148699,4.8497104245656,1.310978855379459,1.3079372309145505,1.3007827059100183
