,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.009710091947917422,0.00448698861433219,0.00448698861433219,0.004463685275355427
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.008115597196790518,0.004159974038294797,0.004159974038294797,0.00413504665975676
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.00740155799134273,0.003986808744446529,0.003986808744446529,0.0039124378993178836
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.011993709893189642,0.006324767067229041,0.006324767067229041,0.00628309481453846
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0010388897264396678,0.0005235333584017831,0.0005235333584017831,0.0005235333584017831
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,1.7097629799336322,1.0281968024916566,1.0268551317718146,1.023330141391416
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,2.7924682093024265,1.6841746519685357,1.6815866951830474,1.677633407531009
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0004906201890381933,0.00024618947321412816,0.0002444516418214497,0.00024343834158900156
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,1.6101275917171034,0.9720624453736891,0.9703920938996697,0.9670120568277486
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.0038913477037052164,0.002138371161906433,0.002138371161906433,0.002138371161906433
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.9409006771516248,0.5668671967013102,0.5658784575807781,0.5642078872383889
