,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.6022080040043531,0.6013268122442187,0.5979837581380602
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.431648938810731,0.43105143541994717,0.42896145655134016
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.3832878719053113,0.38245656552533797,0.3804385265267506
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.7838897791943806,0.7826385916405244,0.7788667960457881
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.011146811753329891,0.011109793475475872,0.011048356381715222
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,6.585109279374523,6.571946549126716,6.543808919946905
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,11.081265121270295,11.056232856142277,11.009415613666343
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.008751398464254833,0.008716293166032544,0.008661540166246819
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,5.92173258358694,5.908927817667063,5.885076735423141
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.03148594105103921,0.031459339807327624,0.0312996556097256
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,3.539318308943808,3.5319036318223485,3.5172371308095536
