,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089323598389826,0.9040964161058495,0.00969741933263157,0.00448698861433219,0.00448698861433219,0.004463685275355427
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6644282997521846,0.6611420125925964,0.008123311379838178,0.004167688221342456,0.004167688221342456,0.00414276084280442
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925232359293736,0.6901225253255585,0.00740155799134273,0.003986808744446529,0.003986808744446529,0.0039124378993178836
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869833532952432,1.180015454624401,0.011993709893189642,0.006324767067229041,0.006324767067229041,0.00628309481453846
VBFHHbbVV,0.017142810635160908,0.017044800758994144,0.016958839805810984,0.0010388897264396678,0.0005235333584017831,0.0005235333584017831,0.0005235333584017831
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.040203617175933,9.026108229589914,1.7095468079461662,1.028059473318427,1.026717802598585,1.0231928122181864
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.235924439515047,15.209051978791601,2.792734881072808,1.684283316576371,1.6816953597908828,1.6777420721388445
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728575832958215,0.01720450952175448,0.0004906201890381933,0.00024618947321412816,0.0002444516418214497,0.00024343834158900156
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.122409113893278,8.111440593820992,1.6099874182155889,0.9719829984353123,0.9703126469612927,0.9669326098893714
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.045957878742758224,0.045716893051750467,0.003883122371321805,0.0021301458295230214,0.0021301458295230214,0.0021301458295230214
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.85716519148699,4.8497104245656,0.9408426409269923,0.5668359228465492,0.5658471837260171,0.5641766133836277
