,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.03 ± 0.14,0.09364165518175174,0.06827325510777725,0.0018024670566712964,0.07132719065568431
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.06 ± 0.13,0.06983365413641834,0.07410525572711119,0.005630714339122216,0.07426318275974853
