,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,14.607083600313306,14.566941845992883
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,676989.3303845931,674699.2583738905
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,43731.660949975834,39377.49577451245
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,3963.9942357072537,3624.0257160814413
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,7974.293746371888,7954.0121035098755
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,9204.305116438707,9167.089550211233
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,436.25416595647226,415.8610534604259
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,82.56753709594804,82.05127330323793
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,27.37999186654869,27.28146469507729
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,25.276957780727066,25.145133079152384
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,43.83988374382627,43.612975176410686
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,3.8865415209168765,3.860565706678138
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,112.43962279389473,97.9322261158211
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,54.43557025396833,45.92767758293928
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,674802.0,667154.0
