,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7022678942821197,1.697912134457557,0.03471319738023476,0.017626991979812764,0.01759953246481783,0.017537779013211754
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320316884193909,1.3176400977779368,0.03162111657629059,0.01610874693004244,0.016113618700017117,0.016078179533416365
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.44730905094112,1.4438382072429978,0.023904470050680936,0.012428467638488493,0.012428467638488493,0.012428467638488493
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140164387110753,2.1348246689713717,0.04400580269422524,0.02198782431370367,0.02198782431370367,0.021904533866087483
VBFHHbbVV,0.039351255043260674,0.03920160683130938,0.03907939297034425,0.003423600332126742,0.0018412231483729883,0.0018396576290700452,0.0018338503862572106
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.818577947810173,25.800578505321255,6.23027719569923,3.7803873761529996,3.7763718202321126,3.7650350694564105
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.99320154541183,42.95875429378178,10.203632655228354,6.175684344974369,6.167776535150956,6.148296810847683
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04103715673797558,0.040940360012980695,0.0018519932429031595,0.001019600196026546,0.0010183772117027044,0.0010172795419034785
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.607950811790502,23.591824563703163,5.81936843983605,3.5355022742876185,3.531080222391278,3.5193314006133085
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916950464938773,0.09883691717809162,0.01198222730778594,0.0065269278023104855,0.0065269278023104855,0.0064711183945396315
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.974959221401965,13.965111361149063,3.4049275942375883,2.0649666179494703,2.0620926373190627,2.0560473589670423
