,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.702520171625074,1.6982652728024297,0.18304316683274865,0.12608281876414287,0.11067571462848397,0.11050357023966526,0.11007975343745893
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3205865338699505,1.3179815656554148,0.13907854661960886,0.09532136939281981,0.08181432005562642,0.08170376231405901,0.08131672027774497
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.4476068021072082,1.4442839363403324,0.10801919173090697,0.07329185484098102,0.06305635989916994,0.0629830479578544,0.06289086931477456
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1404933898792873,2.1353347498037487,0.22084065767922734,0.14866014392927757,0.13039253562233954,0.13019537425479802,0.12962449086142291
VBFHHbbVV,0.039351255043260674,0.03920695729906934,0.03907497453217168,0.0034610486625983794,0.0024149094404223408,0.0014186393356028504,0.0014146120327832852,0.0014116553975008226
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.821883109051342,25.80402102276243,3.4149283106529755,2.5750662345613393,1.0628411353455411,1.0607247612358306,1.0567547144183786
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.997215163068525,42.96260683262052,5.675281521431991,4.273327670589804,1.7766410175978586,1.7722779726474145,1.7630257106622231
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.041054284373482686,0.04094876568163727,0.0020546307304675077,0.0014473487398421717,0.0008580263914276132,0.0008561649201894509,0.0008561649201894509
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61028728937363,23.59518287714358,3.1173479364038603,2.344932232615097,0.9532555546381865,0.9513258284436648,0.9471261965912312
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916880555615576,0.09887153728314756,0.011889475244925365,0.008538704276024347,0.0048473308536299935,0.004845958667370805,0.004832427082602405
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.976532185961757,13.96675801433889,1.8383330319089095,1.3804658841322024,0.5654393778291344,0.5644745145892935,0.5617198855536739
